num,latitude,longitude
202,126.9538941,37.58161703
203,126.9539171,37.58087602
204,126.9538969,37.58099895
205,126.9539201,37.57693682
206,126.9539269,37.57653872
207,126.9539385,37.56491666
208,126.953931,37.57756708
209,126.95396,37.57598847
210,126.9539611,37.56479817
211,126.9539401,37.57639919
212,126.9539866,37.56202076
213,126.9539512,37.59100423
214,126.9539687,37.59065009
215,126.9539967,37.56633956
216,126.9539938,37.57722806
217,126.9539957,37.56510556
218,126.9540008,37.56617063
219,126.9539874,37.59683912
220,126.9540076,37.5722229
221,126.9540059,37.57683619
222,126.9540154,37.57748308
223,126.9540281,37.56406421
224,126.9540273,37.57630688
225,126.9540625,37.5665639
226,126.9540366,37.56380572
227,126.9541016,37.56551954
228,126.9540892,37.56422297
229,126.9540733,37.56306731
230,126.9540936,37.58108133
231,126.9541106,37.57732505
232,126.9540999,37.57745623
233,126.9541179,37.59092176
234,126.9541246,37.56668187
235,126.9541276,37.57368506
236,126.9541508,37.56389674
237,126.9541319,37.5808928
238,126.9541453,37.57645844
239,126.9542405,37.57656266
240,126.9542261,37.57740356
241,126.9542377,37.59664401
242,126.9542706,37.59060524
243,126.9542631,37.56286387
244,126.9542562,37.57642204
245,126.9543189,37.55783008
246,126.9543187,37.56317003
247,126.9543098,37.56396017
248,126.9543133,37.57692059
249,126.9543267,37.56549888
250,126.9543323,37.56514184
251,126.9543137,37.59711363
252,126.9543364,37.56462052
253,126.9543274,37.57705329
254,126.9543759,37.56209416
255,126.9543691,37.56421576
256,126.9543779,37.56340382
257,126.954475,37.5650979
258,126.954375,37.57385639
259,126.954492,37.56482963
260,126.9544725,37.59682189
261,126.9545097,37.59698489
262,126.9545211,37.56215973
263,126.9545422,37.55785062
264,126.9545436,37.56413328
265,126.9545644,37.56396168
266,126.9545531,37.59093508
267,126.9545691,37.56609172
268,126.954599,37.56303796
269,126.9546447,37.56313222
270,126.9546486,37.56238573
271,126.9546215,37.56452472
272,126.954664,37.55787223
273,126.9546702,37.55807364
274,126.9546625,37.5739553
275,126.9546923,37.56537218
276,126.9546737,37.59714271
277,126.9547016,37.56221679
278,126.9547349,37.56500888
279,126.9547164,37.59739182
280,126.9547462,37.56554488
281,126.954729,37.59665267
282,126.9547319,37.59097486
283,126.9547582,37.56570967
284,126.9547751,37.56353564
285,126.9547694,37.56579926
286,126.9547777,37.5633603
287,126.9547859,37.56594407
288,126.954798,37.564049
289,126.9547998,37.56416458
290,126.9548579,37.55806113
291,126.9549002,37.56431589
292,126.9548648,37.56444621
293,126.9548797,37.56224671
294,126.9549069,37.59751409
295,126.9549333,37.56259632
296,126.9549501,37.5635751
297,126.9549259,37.59756583
298,126.9549539,37.56464459
